key,raw_name,translation
ganyu maid,ganyu maid,
mitsuru,mitsuru,
suite rapsodia,suite rapsodia,
sword maiden,sword maiden,
sheep girl,sheep girl,
yor forger ol,yor forger ol,
emma frost,emma frost,
satsuki kyougoku,satsuki kyougoku,
shimakaze monochrome,shimakaze monochrome,
shoukaku rq,shoukaku rq,
aoi futaba,aoi futaba,
butterfly,butterfly,
snow leopard,snow leopard,
suite extella link i,suite extella link i,
v!v!!v!!!,v!v!!v!!!,
zelda bikini,zelda bikini,
bunny lingerie,bunny lingerie,
ganyu lingerie,ganyu lingerie,
morrigan aensland nurse,morrigan aensland nurse,
rem lingerie,rem lingerie,
sonya,sonya,
agano,agano,
ganyu cow,ganyu cow,
gym,gym,
idol,idol,
suite kaleid liner,suite kaleid liner,
microbikini,microbikini,
kanna ogata swimsuit,kanna ogata swimsuit,
musashi miyamoto,musashi miyamoto,
princess leia,princess leia,
shizuka mikazuki,shizuka mikazuki,
violet evergarden,violet evergarden,
coconut,coconut,
juri,juri,
oshino shinobu,oshino shinobu,
holic chan,holic chan,
ruby rose,ruby rose,
navia,navia,
tharja,tharja,
fu xuan,fu xuan,
ganyu ol,ganyu ol,
hayase yuuka,hayase yuuka,
rory mercury,rory mercury,
toga himiko,toga himiko,
ahri spirit blossom,ahri spirit blossom,
cordelia,cordelia,
mika jougasaki jk,mika jougasaki jk,
red saber,red saber,
shinobu,shinobu,
hitomi,hitomi,
megumi kato lingerie,megumi kato lingerie,
rabby viera,rabby viera,
gawr gura swimsuit,gawr gura swimsuit,
miku maekawa neko,miku maekawa neko,
suite decembre,suite decembre,
kaltsit,kaltsit,
kemono kimono,kemono kimono,
prison school,prison school,
ryzu-kyun,ryzu-kyun,
sailor mercury,sailor mercury,
cure diamond,cure diamond,
chizuru,chizuru,
donald duck,donald duck,
neko casual,neko casual,
priest,priest,
syuen,syuen,
galnurse,galnurse,
isabelle,isabelle,
ivy,ivy,
kaede chou,kaede chou,
lemon yakishio mummy,lemon yakishio mummy,
scathach ol,scathach ol,
elysion,elysion,
marin kitagawa maid,marin kitagawa maid,
mutsu,mutsu,
owari bunny,owari bunny,
waitress,waitress,
zombie,zombie,
boyish girlfriend,boyish girlfriend,
christmas bard,christmas bard,
marie rose christmas,marie rose christmas,
dorami,dorami,
asuna bunny,asuna bunny,
camie,camie,
cheshire idol,cheshire idol,
invincible mode,invincible mode,
kanao tsuyuri,kanao tsuyuri,
sakuya rq,sakuya rq,
vanellope von schweetz,vanellope von schweetz,
yelan lingerie,yelan lingerie,
meiren,meiren,
mualani,mualani,
orange pekoe,orange pekoe,
helm bikini,helm bikini,
shiranui mai blue,shiranui mai blue,
shylily,shylily,
stocking,stocking,
